"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_t2g","sg_total"
"367",2018,"Joaquin Niemann","6",3,0,69.867,55,29.03,60.71,312.9,4.51,71.15,"2,098.833",28.94,60.37,1.132,1.568
"368",2019,"Joaquin Niemann","6",3,0,69.867,55,29.03,60.71,312.9,4.51,71.15,"2,098.833",28.94,60.37,1.132,1.568
"369",2016,"Joel Dahmen","101",2,1,71.546,52,20.29,66.16,294.5,4.64,64.53,"1,788.083",28.48,61.45,-0.269,-0.428
"370",2017,"Joel Dahmen","101",2,1,71.546,52,20.29,66.16,294.5,4.64,64.53,"1,788.083",28.48,61.45,-0.269,-0.428
"371",2018,"Joel Dahmen","101",2,1,71.546,52,20.29,66.16,294.5,4.64,64.53,"1,788.083",28.48,61.45,-0.269,-0.428
"372",2019,"Joel Dahmen","101",2,1,71.546,52,20.29,66.16,294.5,4.64,64.53,"1,788.083",28.48,61.45,-0.269,-0.428
"373",2016,"John Huh","59",0,0,70.43,38,23.71,64.58,291.6,4.58,67.25,"1,419.917",28.84,62.05,1.024,0.509
"374",2017,"John Huh","59",0,0,70.43,38,23.71,64.58,291.6,4.58,67.25,"1,419.917",28.84,62.05,1.024,0.509
"375",2018,"John Huh","59",0,0,70.43,38,23.71,64.58,291.6,4.58,67.25,"1,419.917",28.84,62.05,1.024,0.509
"376",2019,"John Huh","59",0,0,70.43,38,23.71,64.58,291.6,4.58,67.25,"1,419.917",28.84,62.05,1.024,0.509
"377",2016,"Jon Rahm","5",9,0,69.908,53,20,63.39,307.1,4.39,72.11,"1,699.000",29.04,63.07,1.7,1.681
"378",2017,"Jon Rahm","5",9,0,69.908,53,20,63.39,307.1,4.39,72.11,"1,699.000",29.04,63.07,1.7,1.681
"379",2018,"Jon Rahm","5",9,0,69.908,53,20,63.39,307.1,4.39,72.11,"1,699.000",29.04,63.07,1.7,1.681
"380",2019,"Jon Rahm","5",9,0,69.908,53,20,63.39,307.1,4.39,72.11,"1,699.000",29.04,63.07,1.7,1.681
"381",2016,"Jonathan Byrd","204",0,0,72.31,28,23.38,54.08,284.6,4.69,64.68,"415.583",28.86,60.11,-0.979,-1.81
"382",2017,"Jonathan Byrd","204",0,0,72.31,28,23.38,54.08,284.6,4.69,64.68,"415.583",28.86,60.11,-0.979,-1.81
"383",2018,"Jonathan Byrd","204",0,0,72.31,28,23.38,54.08,284.6,4.69,64.68,"415.583",28.86,60.11,-0.979,-1.81
"384",2019,"Jonathan Byrd","204",0,0,72.31,28,23.38,54.08,284.6,4.69,64.68,"415.583",28.86,60.11,-0.979,-1.81
