Name,Gender,Course,Round,Hole,Par,Score,FIR,GIR,Approach.Dist,Putts,Exp_Putts,strokesgained,PuttLength
Player 14,Male,PGA National - Champions,Tournament,3,5,6,Missed,Miss,201-225 yards,2,1.934,-0.066,25
Player 3,Male,Wigwam Gold Course,Tournament,6,3,3,Not Applicable (PAR 3),Hit,176-200 yards,2,1.934,-0.066,25
Player 2,Male,Longue Vue Club,Qualifying,12,3,4,Not Applicable (PAR 3),Hit,176-200 yards,3,1.934,-1.066,25
Player 4,Male,Sedgefield Country Club - Dye Course,Tournament,11,4,4,Hit,Hit,51-75 yards,2,1.934,-0.066,25
Player 6,Male,Longue Vue Club,Qualifying,2,4,4,Missed,Hit,51-75 yards,2,1.934,-0.066,25
Player 16,Female,Indiana Country Club,Qualifying,16,4,4,Hit,Hit,101-125 yards,2,1.934,-0.066,25
Player 15,Female,Avalon Lakes Golf Club,Qualifying,6,5,6,Missed,Miss,76-100 yards,3,1.934,-1.066,25
Player 2,Male,Nemacolin Resort - Shepards Rock,Qualifying,13,5,4,Hit,Hit,225 + yards,2,1.934,-0.066,25
Player 6,Male,Avalon Lakes Golf Club,Qualifying,16,3,3,Not Applicable (PAR 3),Hit,201-225 yards,2,1.934,-0.066,25
Player 9,Male,Longue Vue Club,Qualifying,15,5,9,Missed,Miss,76-100 yards,2,1.934,-0.066,25
Player 12,Male,Longue Vue Club,Qualifying,13,4,5,Hit,Hit,76-100 yards,3,1.934,-1.066,25
Player 2,Male,Longue Vue Club,Qualifying,6,4,5,Hit,Hit,101-125 yards,3,1.934,-1.066,25
Player 6,Male,Longue Vue Club,Qualifying,18,4,4,Missed,Hit,151-175 yards,2,1.934,-0.066,25
Player 3,Male,Columbus Country Club,Tournament,2,4,4,Hit,Hit,151-175 yards,2,1.934,-0.066,25
Player 13,Male,Longue Vue Club,Qualifying,8,5,7,Missed,Miss,51-75 yards,3,1.934,-1.066,25
